"Page No.","Diary Page","Entity No.","Authority Name",Entity (Value),Entity Type,"Note 1 Descriptor","Note 2 Context","Note 3 Relationship to Mary",Related Quotes,quotes,Related Footnotes,footnotes,Notes / Questions,DIsambiguation URL 1,DIsambiguation URL 2,DIsambiguation URL 3,
1,[2 007],20,,The Arabian Nights,literature,book,experiences,,,,,,,,,,
1,[2 007],21,Joseph Charles Mardrus,Mardrus,person,artist-writer,mentions,,,,"Le livre des mille nuits et une nuit, traduction littérale et complète du texte arabe par Joseph Charles Mardrus, 16 vol., (Paris: Charpentier et Fasquelle, 1903-1914). Biblioteca Berenson Asian & Islamic Collection PJ7721 .M36 1903","Le livre des mille nuits et une nuit, traduction littérale et complète du texte arabe par Joseph Charles Mardrus, 16 vol., (Paris: Charpentier et Fasquelle, 1903-1914). Biblioteca BerensonAsian & Islamic Collection PJ7721 .M36 1903",,,,,
1,[2 007],22,Grace _,Grace,person,,interacts with,acquaintance,"Grace and Bond’s new wife — who resembles Edith in the most startling way! — came to meet us, and they and Bond lunched with us","Grace and Bond’s new wife — who resembles Edith in the most startling way! — came to meet us, and they and Bond lunched with us",,,,,,,
1,[3 008],23,Mrs. _ Thomas,Bond's new wife,person,,interacts with,,"Grace and Bond’s new wife — who resembles Edith in the most startling way! — came to meet us, and they and Bond lunched with us","Grace and Bond’s new wife — who resembles Edith in the most startling way! — came to meet us, and they and Bond lunched with us",,,,,,,
1,[3 008],24,Edith _,Edith,person,,mentions,acquaintance,"Grace and Bond’s new wife — who resembles Edith in the most startling way! — came to meet us, and they and Bond lunched with us","Grace and Bond’s new wife — who resembles Edith in the most startling way! — came to meet us, and they and Bond lunched with us",Persons identified in the editions of Mary’s earlier diaries or in the editions of the letters of Bernhard and Mary are not identified again here.,Persons identified in the editions of Mary’s earlier diaries or in the editions of the letters of Bernhard and Mary are not identified again here.,"Edith assuming it is the same person - artist] is ""engaged with"" on pages 26 and 29",,,,
1,[3 008],25,Bond Thomas,Bond,person,,interacts with,acquaintance,"Grace and Bond’s new wife — who resembles Edith in the most startling way! — came to meet us, and they and Bond lunched with us","Grace and Bond’s new wife — who resembles Edith in the most startling way! — came to meet us, and they and Bond lunched with us",,,,,,,
1,[3 008],26,,Greek restaurant,location,restaurant,dines at,,,,,,,,,,
1,[3 008],27,,New York,location,city,in proximity of,,,,,,,,,,
1,[3 008],28,,[travel impressions],sentiment,,experiences,,Coming up to New York it was beautiful… but later the effect was confused and unfinished…,Coming up to New York it was beautiful… but later the effect was confused and unfinished…,,,,,,,
1,[4 009],29,Theodore Montgomery Davis,Mr. Davis,person,art collector,interacts with,acquaintance,,,,,Should he be referred to as acquiantance or egyptologist or both,https://en.wikipedia.org/wiki/Theodore_M._Davis,,,
1,[4 009],30,Bernard Berenson,B.B.,person,,interacts with,family-immediate,"B. B. contented himself with saying, “Murder!” or “Jimmy Whiskers!” at the really fine things.","B. B. contented himself with saying, “Murder!” or “Jimmy Whiskers!” at the really fine things.",,,,,,,
1,[5 010],31,Theodore Montgomery Davis,Davis,person,art collector,mentions,acquaintance,"But much must be forgiven Davis, for he really has some very beautiful things....Davis has some good tales and poems.","But much must be forgiven Davis, for he really has some very beautiful things....Davis has some good tales and poems.",,,,,,,
1,[5 010],32,,[Egyptian squatting figure],visual art,?,experiences,,,,,,,,,,
1,[5 010],33,,3000 B.C.,date,,mentions,,,,,,,,,,
1,[5 010],34,,[limerick],poetry,,mentions,,There once was a monk of Liberia / Whose existence grew dreary and drearier...,There once was a monk of Liberia / Whose existence grew dreary and drearier...,,,,,,,
1,[5 010],35,,Liberia,location,country,mentions,,,,,,mentioned in context of a poem,,,,
2,[5 010],36,,Mother Superior,person,religious figure,mentions,,,,,,mentioned in context of a poem,,,,
2,[5 010],37,Grace _,Grace,person,,mentions,acquaintance,,,,,,,,,
2,[5 010],38,,[social standing],sentiment,,observes,,"Grace said that people’s social standing over here is largely determined by the number of bath-rooms in their houses. If so, we are in very high circles, for there are quantities here...","Grace said that people’s social standing over here is largely determined by the number of bath-rooms in their houses. If so, we are in very high circles, for there are quantities here...",,,,,,,
2,[5 010],39,Theodore Montgomery Davis,Mr. Davis,person,art collector,mentions,acquaintance,,,,,,,,,
2,[6 011],40,,The Reef,location,accomodation,diary entry header,,,,,,,,,,
2,[6 011],41,,Newport,location,city,diary entry header,,,,,,,,,,
2,[6 011],42,,"Friday, Oct. 9, 1903",date,,diary entry header,,,,,,,,,,
2,[6 011],43,,Spain,location,country,mentions,,,,,,,,,,
2,[6 011],44,Bernard Berenson,B.B.,person,,mentions,family-immediate,,,,,,,,,
2,[6 011],45,Mr. _ Fearing,[Mr. Fearing],person,,interacts with,acquaintance,A Mr. and Mrs. Fearing came to lunch…,A Mr. and Mrs. Fearing came to lunch…,,,,,,,
2,[6 011],46,Mrs. _ Fearing,Mrs. Fearing,person,,interacts with,acquaintance,A Mr. and Mrs. Fearing came to lunch…,A Mr. and Mrs. Fearing came to lunch…,,,,,,,
2,[6 011],47,Terence Bourke,Terence Bourke,person,,mentions,,"an awfully fat, intensely jolly man, something like Terence Bourke","an awfully fat, intensely jolly man, something like Terence Bourke",,,Q: Was Terence Bourke a known person - artist?,,,,
2,[7 012],48,Theodore Montgomery Davis,Davis,person,art collector,interacts with,acquaintance,we had a great deal of general talk with Davis,we had a great deal of general talk with Davis,,,,,,,
2,[7 012],49,,The Reef,location,accomodation,diary entry header,,,,,,,,,,
2,[7 012],50,,Newport,location,city,diary entry header,,,,,,,,,,
2,[7 012],51,,"Saturday, Oct. 10, 1903",date,,diary entry header,,,,,,,,,,
2,[7 012],52,Mrs. _ Andrews,Mrs. Andrews,person,,interacts with,acquainatnce,Mrs. Andrews at breakfast told us of a Southern poem,Mrs. Andrews at breakfast told us of a Southern poem,,,,,,,
2,[7 012],53,,Southern poem,poetry,,mentions,,,,,,actual title of poem not identified,,,,
2,[8 013],54,J_ Gordon Kugler,J. Gordon Kugler,person,artist-poet,mentions,,,,,,,,,,
2,[8 013],55,,The South,poetry,,mentions,,,,,,,,,,
2,[8 013],56,,Newport,location,city,visits,,,,,,,,,,
2,[8 013],57,Mrs. Annie Davis,Mrs. Davis,person,,interacts with,acquaintance,"I drove into Newport with Mrs. Davis and Mrs. Andrews in the afternoon, to find Sophy Buffum, my old friend.","I drove into Newport with Mrs. Davis and Mrs. Andrews in the afternoon, to find Sophy Buffum, my old friend.",,,"Although married, Davis had a live-in mistress, Emma Andrews, from 1887 until his death. Andrews was the cousin of his wife Annie.",https://en.wikipedia.org/wiki/Theodore_M._Davis,,,
2,[8 013],58,Mrs. _ Andrews,Mrs. Andrews,person,,interacts with,acquaintance,"I drove into Newport with Mrs. Davis and Mrs. Andrews in the afternoon, to find Sophy Buffum, my old friend.","I drove into Newport with Mrs. Davis and Mrs. Andrews in the afternoon, to find Sophy Buffum, my old friend.",,,,,,,
2,[8 013],59,Sophy Buffum,Sophy Buffum,person,,interacts with,acquaintance,"I drove into Newport with Mrs. Davis and Mrs. Andrews in the afternoon, to find Sophy Buffum, my old friend.","I drove into Newport with Mrs. Davis and Mrs. Andrews in the afternoon, to find Sophy Buffum, my old friend.","In list of addresses on p. 239: ‘Buffum, Mrs. Wm., 28 Greenough Place, Newport R. I.’","In list of addresses on p. 239: ‘Buffum, Mrs. Wm., 28 Greenough Place, Newport R. I.’",,,,,
2,[8 013],60,,Europe,location,country,mentions,,,,,,,,,,
2,[8 013],61,Miss _ Busk,Miss Busk,person,,interacts with,acquainatance,"A Miss Busk came to lunch, tall, athletic Gibson girl, very simple. We played Bridge in the evening.","A Miss Busk came to lunch, tall, athletic Gibson girl, very simple. We played Bridge in the evening.",,,,,,,
2,[8 013],62,,[familiarity],sentiment,,experiences,,I have almost lost the feeling of being in America,I have almost lost the feeling of being in America,,,,,,,
2,[8 013],63,,The Reef,location,accomodation,diary entry header,,,,,,,,,,
2,[8 013],64,,Newport,location,city,diary entry header,,,,,,,,,,
2,[8 013],65,,"Sunday, Oct. 11, 1903",date,,diary entry header,,,,,,,,,,
2,[8 013],66,Theodore Montgomery Davis,Mr. Davis,person,art collector,mentions,acquaintance,,,,,,,,,
2,[8 013],67,,Egyptian illustrated books,visual art,?,experiences,,,,,,actual title of book not identified,,,,
2,[9 014],68,,[catalog of Italian pictures],visual art,?,experiences,,,,,,"actual title of ""pictures"" not identified",,,,
2,[9 014],69,,the famous Forgery (Filippino),visual art,?,experiences,,The famous forgery (Filippino) holds a place of honour in the Drawing Room…,The famous forgery (Filippino) holds a place of honour in the Drawing Room…,,,"Q: What is ""the famous Forgery""?",,,,
2,[9 014],70,Filippino Lipi,Filippino,person,artist-painter,mentions,,,,,,,https://en.wikipedia.org/wiki/Filippino_Lippi,,,
2,[9 014],71,,Tricca-Leonardo,visual art,?,experiences,,… the still more famous Tricca-Leonardo hangs opposite to his desk.,… the still more famous Tricca-Leonardo hangs opposite to his desk.,,,"Q: What is the ""Tricca-Leonardo""?",,,,
2,[9 014],72,,The little forgery,visual art,painting,experiences,,The little forgery Logan (unwittingly) sold him also has a place of honour.,The little forgery Logan (unwittingly) sold him also has a place of honour.,,,actual title of artwork not identified,,,,
2,[9 014],73,Logan Pearsall Smith,Logan,person,artist-writer,mentions,family-immediate,The little forgery Logan (unwittingly) sold him also has a place of honour.,The little forgery Logan (unwittingly) sold him also has a place of honour.,,,Logan = Mary's brother,https://en.wikipedia.org/wiki/Logan_Pearsall_Smith,,,
2,[9 014],74,Theodore Montgomery Davis,Mr. Davis,person,art collector,interacts with,acquaintance,He tells us the most marvellous tales about the “goings-on” of the idle rich here,He tells us the most marvellous tales about the “goings-on” of the idle rich here,,,,,,,
2,[9 014],75,Boston Philharmonic Orchestra,Philharmonic orchestra,organization / group,cultural,mentions,,,,,,,,,,
2,[9 014],76,,Boston,location,city,mentions,,,,,,"MYW also ""engages"" with Boston throughout",,,,
2,[9 014],77,,a theatrical troupe,organization / group,cultural,mentions,,,,,,,,,,
2,[9 014],78,,New York,location,city,mentions,,,,,,,,,,
2,[9 014],79,,New York Theatre,organization / group,cultural,mentions,,,,,,,,,,
2,[10 015],80,,[opulence / wealth],sentiment,,observes,,Millions figure in conversation like hundreds at home.,Millions figure in conversation like hundreds at home.,,,,,,,
2,[10 015],81,John Munro Longyear,Mr. Longyear of Marquette,person,public figure,mentions,,"Mr. Longyear of Marquette built an opera hous and gave it to his wife ""to play with.""","Mr. Longyear of Marquette built an opera hous and gave it to his wife ""to play with.""",,,,,,,
2,[10 015],82,Mary Beecher Longyear,[Mrs. Longyear],person,religious figure,mentions,,"Mr. Longyear of Marquette built an opera hous and gave it to his wife ""to play with.""","Mr. Longyear of Marquette built an opera hous and gave it to his wife ""to play with.""",,,,,,,
3,[10 015],83,Mr. _ Coates,Mr. Coates,person,,mentions,,,,,,,,,,
3,[10 015],84,Mr. _ Berevin,Mr. Berevin,person,,mentions,,,,,,,,,,
3,[10 015],85,Mr. _ Taylor,Mr. Taylor,person,,mentions,,,,,,,,,,
3,[10 015],86,Winty Chandler,Mrs. Winty Chandler,person,,mentions,,,,,,,,,,
3,[11 016],87,Theodore Montgomery Davis,Mr. Davis,person,art collector,mentions,acquaintance,His passion is now Egypt — he is spending vast sums in excavations.,His passion is now Egypt — he is spending vast sums in excavations.,,,,,,,
3,[11 016],88,,Egypt,location,country,mentions,,,,,,,,,,
3,[11 016],89,Tomb of Thutmose IV,Tomb of Totmes IV,location,historic,mentions,,,,,,,,,,
3,[11 016],90,Thutmose IV,Totmes IV,person,historic,mentions,,,,Thutmose IV,Thutmose IV,,"https://viaf.org/viaf/26233914/#Thutmose_IV,_King_of_Egypt",,,
3,[11 016],91,Tomb of Queen Hathshepsut,Tomb of the Queen Hatasu,location,historic,mentions,,,,,,,,,,
3,[11 016],92,Queen Hatshepsut,Queen Hatasu,person,historic,mentions,,,,,,,"https://viaf.org/viaf/67741469/#Hatshepsut,_Queen_of_Egypt",,,
3,[11 016],93,,189 Grampian Way,location,address,diary entry header,,,,,,,,,,
3,[11 016],94,,Dorchester,location,city,diary entry header,,,,,,,,,,
3,[11 016],95,,"Monday, Oct. 12, 1903",date,,diary entry header,,,,,,,,,,
3,[11 016],96,,Old Point,location,landmark,visits,,,,,,,,,,
3,[11 016],97,_ Cope,Grandpa Cope,person,,mentions,family-extended,,,,,Q: Actual grandfather?,,,,
3,[11 016],98,Rachel Berenson,Rachel,person,,interacts with,family-extended,Rachel met us at Boston and piloted us and our trunks here.,Rachel met us at Boston and piloted us and our trunks here.,,,,,,,
3,[12 017],99,,Boston,location,city,visits,,,,,,,,,,
3,[12 017],100,Miss _ Sellers,Miss Sellers,person,,mentions,,,,,,,,,,
3,[12 017],101,,The Father,person,,mentions,family-extended,,,,,"Father to Rachel, therefore also family?",,,,
3,[12 017],102,,The Mother,person,,mentions,family-extended,,,,,,,,,
3,[12 017],103,,189 Grampian Way,location,address,diary entry header,,,,,,,,,,
3,[12 017],104,,Dorchester,location,city,diary entry header,,,,,,,,,,
3,[12 017],105,,"Tuesday, Oct. 13, 1903",date,,diary entry header,,,,,,"Mother to Rachel, therefore also family?",,,,
3,[12 017],106,,Boston,location,city,visits,,,,,,,,,,
3,[12 017],107,,[overwhelmed],sentiment,,experiences,,"deafened and dazed by the noise and swiftness of transport, and the numbers of people transported.","deafened and dazed by the noise and swiftness of transport, and the numbers of people transported.",,,,,,,
3,[12 017],108,Rachel Berenson,Rachel,person,,interacts with,family-extended,Rachel nicer and nicer.,Rachel nicer and nicer.,,,,,,,
3,[12 017],109,,189 Grampian Way,location,address,diary entry header,,,,,,,,,,
3,[12 017],110,,Dorchester,location,city,diary entry header,,,,,,,,,,
3,[12 017],111,,"Wednesday, Oct. 14, 1903",date,,diary entry header,,,,,,,,,,
3,[12 017],112,,Blue Hill,location,landmark,visits,,,,,,,,,,
3,[12 017],113,,189 Grampian Way,location,address,diary entry header,,,,,,,,,,
3,[12 017],114,,Dorchester,location,city,diary entry header,,,,,,,,,,
3,[12 017],115,,"Thursday, Oct. 15, 1903",date,,diary entry header,,,,,,,,,,
3,[12 017],116,,Cambridge,location,city,visits,,,,,,,,,,
3,[12 017],117,Mrs. _ Toy,Mrs. Toy,person,,interacts with,acquaintance,"Went to Cambridge to have tea with Mrs. Toy, who had Santayana and Leslie Hopkinson to [13 018] meet us, also a Mr. Andrew, who rejoices in an Orchestrelle.","Went to Cambridge to have tea with Mrs. Toy, who had Santayana and Leslie Hopkinson to [13 018] meet us, also a Mr. Andrew, who rejoices in an Orchestrelle.",,,,,,,
3,[12 017],118,George Santayana,Santayana,person,scholar,interacts with,,"Went to Cambridge to have tea with Mrs. Toy, who had Santayana and Leslie Hopkinson to [13 018] meet us, also a Mr. Andrew, who rejoices in an Orchestrelle.","Went to Cambridge to have tea with Mrs. Toy, who had Santayana and Leslie Hopkinson to [13 018] meet us, also a Mr. Andrew, who rejoices in an Orchestrelle.",,,,https://www.iep.utm.edu/santayan/,,,
3,[12 017],119,Leslie Hopkinson,Leslie Hopkinson,person,,interacts with,acquaintance,"Went to Cambridge to have tea with Mrs. Toy, who had Santayana and Leslie Hopkinson to [13 018] meet us, also a Mr. Andrew, who rejoices in an Orchestrelle.","Went to Cambridge to have tea with Mrs. Toy, who had Santayana and Leslie Hopkinson to [13 018] meet us, also a Mr. Andrew, who rejoices in an Orchestrelle.",,,,,,,
3,[13 018],120,Mr. _ Andrew,Mr. Andrew,person,,interacts with,acquaintance,"Went to Cambridge to have tea with Mrs. Toy, who had Santayana and Leslie Hopkinson to [13 018] meet us, also a Mr. Andrew, who rejoices in an Orchestrelle.","Went to Cambridge to have tea with Mrs. Toy, who had Santayana and Leslie Hopkinson to [13 018] meet us, also a Mr. Andrew, who rejoices in an Orchestrelle.",,,,,,,
3,[13 018],121,,Orchestrelle,misc,instrument,mentions,,,,,,,,,,misc
3,[13 018],122,Rachel Berenson,Rachel,person,,interacts with,family-extended,Had a swim in the bay with Rachel in the early morning.,Had a swim in the bay with Rachel in the early morning.,,,,,,,
3,[13 018],123,,189 Grampian Way,location,address,diary entry header,,,,,,,,,,
3,[13 018],124,,Dorchester,location,city,diary entry header,,,,,,,,,,
3,[13 018],125,,"Friday, Oct. 16, 1903",date,,diary entry header,,,,,,,,,,
3,[13 018],126,,Willowbrook Cottage,location,accomodation,visits,,,,,,,,,,
3,[13 018],127,,Beverly,location,city,visits,,,,,,,,,,
3,[13 018],128,Gertrude Hitz Burton,Gertrude,person,social reformer,interacts with,friend,"We spent the day at Willowbrook Cottage, Beverly, with Gertrude and Mrs. Tyler.","We spent the day at Willowbrook Cottage, Beverly, with Gertrude and Mrs. Tyler.",,,,,,,
3,[13 018],129,Mrs. _ Tyler,Mrs. Tyler,person,,interacts with,acquaintance,"We spent the day at Willowbrook Cottage, Beverly, with Gertrude and Mrs. Tyler.","We spent the day at Willowbrook Cottage, Beverly, with Gertrude and Mrs. Tyler.",,,,,,,
3,[13 018],130,Charles _,"""Brother Charles""",person,,mentions,,,,,,"Q: Who is ""Brother Charles"" a nickname for?",,,,
3,[13 018],131,Gertrude Hitz Burton,Gertrude,person,social reformer,interacts with,friend,Gertrude seemed very ill,Gertrude seemed very ill,,,,,,,
3,[13 018],132,,[Gertrude's Mother],person,,mentions,,,,,,,,,,
3,[13 018],133,Charles Fleischer,Rabbi Fleischer,person,religious figure,interacts with,,Rabbi Fleischer came in the evening,Rabbi Fleischer came in the evening,,,,https://www.commentarymagazine.com/articles/charles-fleischers-religion-of-democracyan-experiment-in-american-faith/,"https://en.wikisource.org/wiki/The_Encyclopedia_Americana_(1920)/Fleischer,_Charles",,
3,[13 018],134,,Democracy,theme,,describes,,,,,,,,,,
3,[13 018],135,Mr. _ Goldman (née Michliszanski),Michliszanski,person,,interacts with,family-extended,"I forget to mention the family party of the night before, with an old uncle who has changed his name of Michliszanski","I forget to mention the family party of the night before, with an old uncle who has changed his name of Michliszanski","Bernhard's mother's maiden name, Judith (Michliszanski) Berenson","Bernhard's mother's maiden name, Judith (Michliszanski) Berenson",,,,,
3,[13 018],136,Mr. _ Goldman (née Michliszanski),Goldman,person,,interacts with,family-extended,,,,,,,,,
3,[13 018],137,,[Jewish Culture],theme,,describes,,changed his name of Michliszanski for that of Goldman (poor as he is!),changed his name of Michliszanski for that of Goldman (poor as he is!),,,,,,,
3,[13 018],138,Leo Tolstoy,Tolstoi,person,artist-writer,mentions,,,,,,,,,,
3,[13 018],139,Hinda Coen (née Schwarz),Hinda Coen (née Schwarz),person,,interacts with,family-extended,"the family party of the night before… a cousin named Hinda Coen (née Schwarz), rather awful, and her nice but hopeless-looking husband James.","the family party of the night before… a cousin named Hinda Coen (née Schwarz), rather awful, and her nice but hopeless-looking husband James.",,,Hinda Coen's husband,,,,
3,[13 018],140,James Coen,James,person,,interacts with,family-extended,"the family party of the night before… a cousin named Hinda Coen (née Schwarz), rather awful, and her nice but hopeless-looking husband James.","the family party of the night before… a cousin named Hinda Coen (née Schwarz), rather awful, and her nice but hopeless-looking husband James.",,,,,,,
4,[14 019],141,,Green Hill,location,accomodation,diary entry header,,,,,,,,,,
4,[14 019],142,,Brookline,location,city,diary entry header,,,,,,,,,,
4,[14 019],143,,"Saturday, Oct. 17, 1903",date,,diary entry header,,,,,,,,,,
4,[14 019],144,Isabella Stewart Gardner,Mrs. Jack Gardner,person,art collector,interacts with,,"a very cordial welcome from that extraordinary person, “Mrs. Jack Gardner”.","a very cordial welcome from that extraordinary person, “Mrs. Jack Gardner”.",,,,,,,
4,[14 019],145,Isabella Stewart Gardner,Mrs. Gardner,person,art collector,interacts with,,"Mrs. Gardner’s protégé, Proctor the musician, came to dine, and then we all went to the first Symphony Concert","Mrs. Gardner’s protégé, Proctor the musician, came to dine, and then we all went to the first Symphony Concert",,,,,,,
4,[14 019],146,George Proctor,Proctor the musician,person,artist-musician,interacts with,,"Mrs. Gardner’s protégé, Proctor the musician, came to dine, and then we all went to the first Symphony Concert","Mrs. Gardner’s protégé, Proctor the musician, came to dine, and then we all went to the first Symphony Concert",,,,https://chroniclingamerica.loc.gov/lccn/sn83030272/1903-02-22/ed-1/seq-4.pdf,,,
4,[14 019],147,Symphony Hall,Symphony Concert,location,cultural heritage institution,visits,,,,,,,,,,
4,[14 019],148,,Symphony Concert,event,cultural,experiences,,,,,,Authority Name for Concert / Concert Series?,,,,
4,[14 019],149,Boston Symphony Orchestra,[Boston Symphony Orchestra],organization / group,cultural,listens to,,,,,,,,,,
4,[14 019],150,Pyotr Ilyich Tchaikovsky,Tschaikowski,person,artist-composer,mentions,,,,,,,,,,
4,[14 019],151,,[Tschaikowski's music],music,,experiences,,,,,,"Specific pieces of music not identified, but MWB was listening to Tschaikowski",,,,
4,[14 019],152,Alfred Brundeau,Bruneau,person,artist-composer,mentions,,,,,,,,,,
4,[14 019],153,,[Bruneau's music],music,,experiences,,,,,,"Specific pieces of music not identified, but MWB was listening to Bruneau",,,,
4,[14 019],154,Johannes Brahms,Brahms,person,artist-composer,mentions,,,,,,,,,,
4,[14 019],155,,[Brahms' music],music,,experiences,,,,,,"Specific pieces of music not identified, but MWB was listening to Brahms",,,,
4,[14 019],156,,[dispproval of music],sentiment,music criticism,expresses,,"... and then we all went to the first Symphony Concert — a glorious orchestra and indifferent or positively painful modern music, Tschaikowski, Bruneau, even Brahms not to delightful","... and then we all went to the first Symphony Concert — a glorious orchestra and indifferent or positively painful modern music, Tschaikowski, Bruneau, even Brahms not to delightful",,,,,,,
4,[14 019],157,Sarah Whitman,Mrs. Sarah Whitman,person,artist-painter,interacts with,acquaintance,"I sat next to Mrs. Sarah Whitman, and near my old Prof. of Ethics, Josiah Royce,","I sat next to Mrs. Sarah Whitman, and near my old Prof. of Ethics, Josiah Royce,",,,They discuss her art in more detail later in the diary,https://en.wikipedia.org/wiki/Sarah_W._Whitman,,,
4,[14 019],158,Josiah Royce,Josiah Royce,person,professor,interacts with,,"I sat next to Mrs. Sarah Whitman, and near my old Prof. of Ethics, Josiah Royce,","I sat next to Mrs. Sarah Whitman, and near my old Prof. of Ethics, Josiah Royce,",,,,,,,
4,[14 019],159,Bernard Berenson,Bob,person,,mentions,family-immediate,,,,,,,,,
4,[14 019],160,scholar,George Moore,person,scholar,mentions,,"… George Moore, the philosopher","… George Moore, the philosopher",,,,,,,
4,[14 019],161,Mrs. _ Parkman,Mrs. Parkman,person,,interacts with,acquaintance,"We met a beautiful Mrs. Parkman, and Mr. and Mrs. Higginson, who run the Concerts.","We met a beautiful Mrs. Parkman, and Mr. and Mrs. Higginson, who run the Concerts.",,,,,,,
4,[15 020],162,Henry Lee Higginson,[Mr. Higginson],person,public figure,interacts with,acquaintance,"We met a beautiful Mrs. Parkman, and Mr. and Mrs. Higginson, who run the Concerts.","We met a beautiful Mrs. Parkman, and Mr. and Mrs. Higginson, who run the Concerts.",,,,http://cache.boston.com/globe/magazine/2000/10-8/featurestory1.shtml,,,
,[15 020],163,Ida Agassiz Higginson,Mrs. Higginson,person,,interacts with,acquaintance,"We met a beautiful Mrs. Parkman, and Mr. and Mrs. Higginson, who run the Concerts.","We met a beautiful Mrs. Parkman, and Mr. and Mrs. Higginson, who run the Concerts.",,,,,,,
,[15 020],164,,the Concerts,event,cultural,mentiions,,,,,,Authority Name for Concert / Concert Series?,,,,
4,[15 020],165,Isabella Stewart Gardner,Mrs. Gardner,person,art collector,mentions,,,,,,,,,,
4,[15 020],166,,[frugality],sentiment,,observes,,"Mrs. Gardner has a mania, evidently, for saving on lighting! The moment we leave our rooms a servant rushes in not to turn down the gas, but to turn it out, and int he music room where we sit, there is only one lamp, and little odds and ends of candles which she lights to see certain things and then puts out instantly. She lives very sparingly too, wearing old clothes and eating almost nothing. It is a chance for me to grow thin! She evidently cares nothing for physical comforts — it is rather fine.","Mrs. Gardner has a mania, evidently, for saving on lighting! The moment we leave our rooms a servant rushes in not to turn down the gas, but to turn it out, and int he music room where we sit, there is only one lamp, and little odds and ends of candles which she lights to see certain things and then puts out instantly. She lives very sparingly too, wearing old clothes and eating almost nothing. It is a chance for me to grow thin! She evidently cares nothing for physical comforts — it is rather fine.",,,,,,,
4,[15 020],167,,Green Hill,location,accomodation,diary entry header,,,,,,,,,,
4,[15 020],168,,Brookline,location,city,diary entry header,,,,,,,,,,
4,[15 020],169,,"Sunday, Oct. 18, 1903",date,,diary entry header,,,,,,,,,,
4,[15 020],170,Isabella Stewart Gardner,her,person,art collector,interacts with,,When we walked in the gardens with her...,When we walked in the gardens with her...,,,,,,,
4,[16 021],171,Arnold Arboretum,Arboretum,location,cultural heritage institution,visits,,,,,,,,,,
4,[16 021],172,,Country Club,location,club,dines at,,,,,,,,,,
4,[16 021],173,,famous divorcée,person,,mentions,,,,,,,,,,
4,[16 021],174,,famous corespondent,person,,mentions,,,,,,,,,,
4,[16 021],175,Mr. _ Dwight,Mr. Dwight,person,,interacts with,acquaintance,"Mr. Dwight and Mr. Swift called, and then Santayana, who stayed to dine","Mr. Dwight and Mr. Swift called, and then Santayana, who stayed to dine",,,,,,,
4,[16 021],176,Mr. _ Swift,Mr. Swift,person,,interacts with,acquaintance,"Mr. Dwight and Mr. Swift called, and then Santayana, who stayed to dine","Mr. Dwight and Mr. Swift called, and then Santayana, who stayed to dine",,,,,,,
4,[16 021],177,George Santayana,Santayana,person,scholar,interacts with,,"Mr. Dwight and Mr. Swift called, and then Santayana, who stayed to dine","Mr. Dwight and Mr. Swift called, and then Santayana, who stayed to dine",,,,,,,
