text,p,start,end,type,description
"Monday, February 9,1931",6,0,23,DATE,Absolute or relative dates or periods
Vavalà,7,0,6,ORG,"Companies, agencies, institutions, etc."
Sands,7,21,26,PERSON,"People, including fictional"
Gordon,8,0,6,PERSON,"People, including fictional"
Kitty Waterfield,8,11,27,PERSON,"People, including fictional"
11.45,8,37,42,TIME,Times smaller than a day
4,8,75,76,TIME,Times smaller than a day
"Tuesday, February 10,1931",10,0,25,DATE,Absolute or relative dates or periods
11,11,3,5,TIME,Times smaller than a day
Sanminiatellis,11,20,34,PERSON,"People, including fictional"
Placci,11,61,67,PERSON,"People, including fictional"
Cora,11,72,76,PERSON,"People, including fictional"
Sands,11,85,90,PERSON,"People, including fictional"
2,11,100,101,CARDINAL,Numerals that do not fall under another type
Waterfields,11,108,119,PERSON,"People, including fictional"
BB,11,129,131,PERSON,"People, including fictional"
Near East,11,169,178,LOC,"Non-GPE locations, mountain ranges, bodies of water"
"Wednesday, February 11,1931",12,0,27,DATE,Absolute or relative dates or periods
Hammer,13,0,6,PERSON,"People, including fictional"
BB,13,22,24,PERSON,"People, including fictional"
Toeplitzes,13,48,58,PERSON,"People, including fictional"
Sand,13,64,68,PERSON,"People, including fictional"
"Thursday February 12,1931",2,0,25,DATE,Absolute or relative dates or periods
Senda,3,0,5,ORG,"Companies, agencies, institutions, etc."
Trevy,3,7,12,ORG,"Companies, agencies, institutions, etc."
Signorina Accascina,4,0,19,PERSON,"People, including fictional"
Palermo,4,25,32,GPE,"Countries, cities, states"
Waterfields,4,52,63,PERSON,"People, including fictional"
Sands,4,72,77,PERSON,"People, including fictional"
Johnny,4,94,100,PERSON,"People, including fictional"
Sands,4,109,114,PERSON,"People, including fictional"
Lochoff,4,122,129,PERSON,"People, including fictional"
Lathrop,4,160,167,PERSON,"People, including fictional"
Vavalà,4,186,192,PERSON,"People, including fictional"
Castelfranco,4,202,214,PERSON,"People, including fictional"
Uffizi,4,223,229,ORG,"Companies, agencies, institutions, etc."
Senda,5,50,55,PERSON,"People, including fictional"
"Friday, February 13,1931",6,0,24,DATE,Absolute or relative dates or periods
Nesta de Roebeck,7,0,16,PERSON,"People, including fictional"
Sands,7,30,35,PERSON,"People, including fictional"
"Saturday, February 14,1931",8,0,26,DATE,Absolute or relative dates or periods
67th,9,3,7,ORDINAL,"""first"", ""second"", etc."
Nicky,9,27,32,PERSON,"People, including fictional"
Anreps,9,37,43,PERSON,"People, including fictional"
Senda,9,62,67,ORG,"Companies, agencies, institutions, etc."
Naima,9,82,87,ORG,"Companies, agencies, institutions, etc."
Byba,9,106,110,ORG,"Companies, agencies, institutions, etc."
Lina,9,125,129,ORG,"Companies, agencies, institutions, etc."
Johnny,9,143,149,PERSON,"People, including fictional"
"Sunday, February 15,1931",10,0,24,DATE,Absolute or relative dates or periods
BB,12,14,16,PERSON,"People, including fictional"
Senda,12,38,43,PERSON,"People, including fictional"
Nicky,12,89,94,PERSON,"People, including fictional"
Nicky,12,105,110,PERSON,"People, including fictional"
Alda,12,112,116,PERSON,"People, including fictional"
Naima,12,141,146,PERSON,"People, including fictional"
Cecil,12,184,189,PERSON,"People, including fictional"
Bertie,12,217,223,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
Morra,2,0,5,PERSON,"People, including fictional"
Nicky,2,16,21,PERSON,"People, including fictional"
John Walker,3,0,11,PERSON,"People, including fictional"
Trevy,4,0,5,PERSON,"People, including fictional"
Sands,5,4,9,PERSON,"People, including fictional"
evening,6,4,11,TIME,Times smaller than a day
"Monday, February 16,1931",7,0,24,DATE,Absolute or relative dates or periods
Vavalà,8,0,6,ORG,"Companies, agencies, institutions, etc."
"Tuesday, February 17,1931",9,0,25,DATE,Absolute or relative dates or periods
Marangonis,10,4,14,PERSON,"People, including fictional"
"Wednesday, February 18,1931",11,0,27,DATE,Absolute or relative dates or periods
Rose Nichols,13,5,17,PERSON,"People, including fictional"
Newton,13,43,49,PERSON,"People, including fictional"
Shapiro,13,99,106,PERSON,"People, including fictional"
2 years ago,13,127,138,DATE,Absolute or relative dates or periods
Mediaeval Art,13,176,189,ORG,"Companies, agencies, institutions, etc."
Columbia College,13,193,209,ORG,"Companies, agencies, institutions, etc."
Sands,13,215,220,PERSON,"People, including fictional"
Aubrey,13,225,231,PERSON,"People, including fictional"
Sands,13,246,251,PERSON,"People, including fictional"
Hammer,13,257,263,PERSON,"People, including fictional"
Fokker,13,272,278,PERSON,"People, including fictional"
Preface,13,301,308,WORK_OF_ART,"Titles of books, songs, etc."
Sacred Pictures,13,310,325,WORK_OF_ART,"Titles of books, songs, etc."
1930,1,0,4,DATE,Absolute or relative dates or periods
"Thursday, February 19, 1931",2,0,27,DATE,Absolute or relative dates or periods
Senda,3,0,5,GPE,"Countries, cities, states"
Naima,3,7,12,GPE,"Countries, cities, states"
John W[alker,3,26,38,PERSON,"People, including fictional"
Sands,4,117,122,PERSON,"People, including fictional"
Evelyn,4,135,141,PERSON,"People, including fictional"
"Friday, February 20,1931",5,0,24,DATE,Absolute or relative dates or periods
Placci,6,14,20,PERSON,"People, including fictional"
Conte Gamba,6,25,36,PERSON,"People, including fictional"
Vavalà,6,41,47,PERSON,"People, including fictional"
evening,6,78,85,TIME,Times smaller than a day
Aldous Huxley’s,6,94,109,PERSON,"People, including fictional"
After the fireworks,6,111,130,WORK_OF_ART,"Titles of books, songs, etc."
"Saturday, February 21,1931",7,0,26,DATE,Absolute or relative dates or periods
Vavalà,8,0,6,ORG,"Companies, agencies, institutions, etc."
Sands,8,22,27,PERSON,"People, including fictional"
Iris Origo,8,32,42,PERSON,"People, including fictional"
"Sunday, February 22,1931",9,0,24,DATE,Absolute or relative dates or periods
Clotilde Marghieri,10,34,52,PERSON,"People, including fictional"
"Monday, February 23,1931",11,0,24,DATE,Absolute or relative dates or periods
Vavalà,12,0,6,ORG,"Companies, agencies, institutions, etc."
"Tuesday, February 24,1931",13,0,25,DATE,Absolute or relative dates or periods
Rezia Corsini,14,0,13,PERSON,"People, including fictional"
Clotilde,14,41,49,GPE,"Countries, cities, states"
"Wednesday, February 25,1931",15,0,27,DATE,Absolute or relative dates or periods
Vavalà,16,0,6,ORG,"Companies, agencies, institutions, etc."
Accascina,16,8,17,GPE,"Countries, cities, states"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Thursday, February 26,1931",2,0,26,DATE,Absolute or relative dates or periods
Placci,4,0,6,PERSON,"People, including fictional"
Frau Holstein,4,25,38,PERSON,"People, including fictional"
Nichols,4,45,52,PERSON,"People, including fictional"
Fokker,4,63,69,PERSON,"People, including fictional"
first,5,10,15,ORDINAL,"""first"", ""second"", etc."
Costers,6,16,23,PERSON,"People, including fictional"
Cecil,6,30,35,PERSON,"People, including fictional"
Fausts,6,44,50,PERSON,"People, including fictional"
Scaravelli,6,63,73,PERSON,"People, including fictional"
"Friday, February 27,1931",7,0,24,DATE,Absolute or relative dates or periods
Clotilde,8,0,8,PERSON,"People, including fictional"
Nesta,8,10,15,PERSON,"People, including fictional"
Scaravelli,8,20,30,PERSON,"People, including fictional"
Vavalà,8,42,48,PERSON,"People, including fictional"
Sienese,8,61,68,NORP,Nationalities or religious or political groups
Brandi,8,70,76,PERSON,"People, including fictional"
Jane Herman,9,30,41,PERSON,"People, including fictional"
"Saturday, February 28,1931",10,0,26,DATE,Absolute or relative dates or periods
Aubrey,11,0,6,PERSON,"People, including fictional"
Kinta Waterfield,11,11,27,PERSON,"People, including fictional"
Flavia Darina,11,42,55,PERSON,"People, including fictional"
Fokker,11,64,70,PERSON,"People, including fictional"
"Sunday, March 1,1931",12,0,20,DATE,Absolute or relative dates or periods
Anreps,13,4,10,PERSON,"People, including fictional"
Cecil,13,15,20,PERSON,"People, including fictional"
"Monday, March 2,1931",14,0,20,DATE,Absolute or relative dates or periods
Coras,15,4,9,PERSON,"People, including fictional"
Clotilde Marghieri,15,14,32,PERSON,"People, including fictional"
Vavalà,15,48,54,PERSON,"People, including fictional"
Herr Peters,15,59,70,PERSON,"People, including fictional"
Budapest,15,77,85,GPE,"Countries, cities, states"
Ray,15,95,98,PERSON,"People, including fictional"
midnight,15,110,118,TIME,Times smaller than a day
"Tuesday, March 3, 1931",2,0,22,DATE,Absolute or relative dates or periods
Senda,3,0,5,PERSON,"People, including fictional"
Ray,3,7,10,PERSON,"People, including fictional"
Morra,3,12,17,PERSON,"People, including fictional"
Sessions,3,23,31,PERSON,"People, including fictional"
Stanton,4,5,12,PERSON,"People, including fictional"
Placci,4,17,23,PERSON,"People, including fictional"
"Wednesday, March 4,1931",5,0,23,DATE,Absolute or relative dates or periods
Iris Origo,6,0,10,PERSON,"People, including fictional"
Clotilde,6,12,20,PERSON,"People, including fictional"
Morra,6,25,30,PERSON,"People, including fictional"
Senda,6,57,62,PERSON,"People, including fictional"
Ray,6,67,70,PERSON,"People, including fictional"
Javanese,6,96,104,NORP,Nationalities or religious or political groups
Morra,6,125,130,PERSON,"People, including fictional"
BB,6,143,145,PERSON,"People, including fictional"
"Thursday, March 5,1931",7,0,22,DATE,Absolute or relative dates or periods
Vavalà,9,23,29,PERSON,"People, including fictional"
the morning,9,33,44,TIME,Times smaller than a day
Nicky,9,84,89,PERSON,"People, including fictional"
Rezia Rasponi,10,0,13,PERSON,"People, including fictional"
BB,11,0,2,PERSON,"People, including fictional"
Consulate,11,26,35,FAC,"Buildings, airports, highways, bridges, etc."
Italian,11,48,55,NORP,Nationalities or religious or political groups
"Friday, March 6,1931",12,0,20,DATE,Absolute or relative dates or periods
Maltese,13,64,71,NORP,Nationalities or religious or political groups
Sessions,13,125,133,PERSON,"People, including fictional"
Ray,13,135,138,PERSON,"People, including fictional"
Anreps,13,152,158,PERSON,"People, including fictional"
May Boyle,13,164,173,PERSON,"People, including fictional"
"Saturday, March 7,1931",2,0,22,DATE,Absolute or relative dates or periods
Senda,3,0,5,PERSON,"People, including fictional"
Morra,3,7,12,PERSON,"People, including fictional"
Ray,3,14,17,PERSON,"People, including fictional"
Alys,3,19,23,PERSON,"People, including fictional"
Lowenthal,4,5,14,PERSON,"People, including fictional"
Smith College,4,42,55,ORG,"Companies, agencies, institutions, etc."
Moravia,4,76,83,PERSON,"People, including fictional"
"Saturday, March 8,1931",5,0,22,DATE,Absolute or relative dates or periods
Sanminiatellis,6,49,63,PERSON,"People, including fictional"
Marchesa Fossi,6,65,79,PERSON,"People, including fictional"
Moravia,6,98,105,PERSON,"People, including fictional"
"Sunday, March 8,1931",7,0,20,DATE,Absolute or relative dates or periods
the evening,9,3,14,TIME,Times smaller than a day
the Jarvel Company,9,30,48,ORG,"Companies, agencies, institutions, etc."
Le Medecin malgrè lui,9,59,80,WORK_OF_ART,"Titles of books, songs, etc."
Ray,9,130,133,PERSON,"People, including fictional"
BB,9,138,140,PERSON,"People, including fictional"
Jeanne,9,145,151,PERSON,"People, including fictional"
2nd,9,168,171,ORDINAL,"""first"", ""second"", etc."
La Carosse du Sacrement,9,179,202,WORK_OF_ART,"Titles of books, songs, etc."
"Monday, March 9,1931",10,0,20,DATE,Absolute or relative dates or periods
Pancrazis,11,4,13,PERSON,"People, including fictional"
Moravia,11,15,22,PERSON,"People, including fictional"
Pasquali,11,28,36,PERSON,"People, including fictional"
Alys,12,0,4,PERSON,"People, including fictional"
3.20,12,16,20,TIME,Times smaller than a day
"Tuesday, March 10,1931",13,0,22,DATE,Absolute or relative dates or periods
Lowenthal,14,5,14,PERSON,"People, including fictional"
Kennedy,14,19,26,PERSON,"People, including fictional"
BB,14,55,57,PERSON,"People, including fictional"
Pistoia,14,106,113,FAC,"Buildings, airports, highways, bridges, etc."
Verrocchio,14,157,167,PERSON,"People, including fictional"
Cecil Pinsent,14,180,193,PERSON,"People, including fictional"
Morra,14,224,229,PERSON,"People, including fictional"
"Wednesday, March 11,1931",2,0,24,DATE,Absolute or relative dates or periods
Ray,3,0,3,PERSON,"People, including fictional"
Lowenthal,3,10,19,PERSON,"People, including fictional"
Senda,3,21,26,PERSON,"People, including fictional"
Alys,3,28,32,PERSON,"People, including fictional"
Gibson,4,5,11,PERSON,"People, including fictional"
May Boyd,4,16,24,PERSON,"People, including fictional"
De Filippis,5,4,15,PERSON,"People, including fictional"
Galsial,5,48,55,PERSON,"People, including fictional"
"Thursday, March 12,1931",6,0,23,DATE,Absolute or relative dates or periods
Alys,7,0,4,PERSON,"People, including fictional"
5,7,13,14,TIME,Times smaller than a day
"Friday, March 13,1931",8,0,21,DATE,Absolute or relative dates or periods
Prestley,9,5,13,PERSON,"People, including fictional"
Nesta de Roebeck,9,15,31,PERSON,"People, including fictional"
Costers,9,40,47,PERSON,"People, including fictional"
Rohr,9,57,61,PERSON,"People, including fictional"
Blaw,9,66,70,PERSON,"People, including fictional"
Accascina,9,96,105,PERSON,"People, including fictional"
Castelfranco,9,120,132,PERSON,"People, including fictional"
Ray,9,156,159,PERSON,"People, including fictional"
midnight,9,190,198,TIME,Times smaller than a day
"Saturday, March 14,1931",10,0,23,DATE,Absolute or relative dates or periods
Iris,11,0,4,PERSON,"People, including fictional"
Curtis,11,20,26,PERSON,"People, including fictional"
Boston,11,30,36,GPE,"Countries, cities, states"
Cecil,11,41,46,PERSON,"People, including fictional"
Stanton,11,66,73,PERSON,"People, including fictional"
Rasponi,11,97,104,PERSON,"People, including fictional"
Lowenthal,11,123,132,PERSON,"People, including fictional"
Smith College,12,0,13,ORG,"Companies, agencies, institutions, etc."
the week,12,28,36,DATE,Absolute or relative dates or periods
"Sunday, March 15,1931",13,0,21,DATE,Absolute or relative dates or periods
Edmund,14,0,6,PERSON,"People, including fictional"
Mary Houghton,14,11,24,PERSON,"People, including fictional"
yesterday,14,43,52,DATE,Absolute or relative dates or periods
India,14,58,63,GPE,"Countries, cities, states"
Lochoff,14,65,72,PERSON,"People, including fictional"
Anreps,14,93,99,PERSON,"People, including fictional"
"Monday, March 15,1931",15,0,21,DATE,Absolute or relative dates or periods
